Timestamp,Object_Label,Confidence
2025-11-28 08:11:41.501736,person,0.66
2025-11-28 08:11:41.555854,person,0.88
2025-11-28 08:11:41.555854,person,0.67
2025-11-28 08:11:41.626497,person,0.89
2025-11-28 08:11:41.687600,person,0.86
2025-11-28 08:11:41.745147,person,0.87
2025-11-28 08:11:41.814302,person,0.88
2025-11-28 08:11:41.815304,person,0.86
2025-11-28 08:11:41.870497,person,0.89
2025-11-28 08:11:41.870497,person,0.82
2025-11-28 08:11:41.924719,person,0.89
2025-11-28 08:11:41.925724,person,0.83
2025-11-28 08:11:41.982614,person,0.89
2025-11-28 08:11:41.983610,person,0.85
2025-11-28 08:11:42.042288,person,0.90
2025-11-28 08:11:42.042288,person,0.82
2025-11-28 08:11:42.097976,person,0.89
2025-11-28 08:11:42.097976,person,0.82
2025-11-28 08:11:42.153715,person,0.90
2025-11-28 08:11:42.154712,person,0.84
2025-11-28 08:11:42.214525,person,0.90
2025-11-28 08:11:42.215821,person,0.86
2025-11-28 08:11:42.273007,person,0.93
2025-11-28 08:11:42.274007,person,0.80
2025-11-28 08:11:42.327798,person,0.93
2025-11-28 08:11:42.328798,person,0.85
2025-11-28 08:11:42.385388,person,0.93
2025-11-28 08:11:42.385388,person,0.81
2025-11-28 08:11:42.442030,person,0.94
2025-11-28 08:11:42.443026,person,0.83
2025-11-28 08:11:42.499330,person,0.92
2025-11-28 08:11:42.499330,person,0.89
2025-11-28 08:11:42.551943,person,0.92
2025-11-28 08:11:42.553276,person,0.91
2025-11-28 08:11:42.607382,person,0.92
2025-11-28 08:11:42.608387,person,0.91
2025-11-28 08:11:42.662608,person,0.91
2025-11-28 08:11:42.663608,person,0.90
2025-11-28 08:11:42.721854,person,0.91
2025-11-28 08:11:42.722855,person,0.89
2025-11-28 08:11:42.778532,person,0.92
2025-11-28 08:11:42.779532,person,0.89
2025-11-28 08:11:42.835657,person,0.92
2025-11-28 08:11:42.836651,person,0.89
2025-11-28 08:11:42.890402,person,0.93
2025-11-28 08:11:42.891402,person,0.89
